"year","state","state_po","county_name","party","candidatevotes","totalvotes","percentvote"
"2000","FLORIDA","FL","LAKE","DEMOCRAT","36571","88611","41.27"
"2000","FLORIDA","FL","LAKE","REPUBLICAN","50010","88611","56.44"
"2000","FLORIDA","FL","LEE","DEMOCRAT","73560","184377","39.90"
"2000","FLORIDA","FL","LEE","REPUBLICAN","106141","184377","57.57"
"2000","FLORIDA","FL","LEON","DEMOCRAT","61427","103124","59.57"
"2000","FLORIDA","FL","LEON","REPUBLICAN","39062","103124","37.88"
"2000","FLORIDA","FL","LEVY","DEMOCRAT","5398","12724","42.42"
"2000","FLORIDA","FL","LEVY","REPUBLICAN","6858","12724","53.90"
"2000","FLORIDA","FL","LIBERTY","DEMOCRAT","1017","2410","42.20"
"2000","FLORIDA","FL","LIBERTY","REPUBLICAN","1317","2410","54.65"
"2000","FLORIDA","FL","MADISON","DEMOCRAT","3014","6162","48.91"
"2000","FLORIDA","FL","MADISON","REPUBLICAN","3038","6162","49.30"
"2000","FLORIDA","FL","MANATEE","DEMOCRAT","49177","110221","44.62"
